id_voto,telefone,nome,bairro,cidade,deputado_estadual,deputado_federal,governador,presidente,status
1,Enquete Digital,Eleitor Arapongas,Centro,Arapongas,Sérgio Onofre,Pedro Lupion,Sergio Moro,Flávio Bolsonaro,declarado
2,Enquete Digital,Eleitor Arapongas,Jardim Petrópolis,Arapongas,Sérgio Onofre,Pedro Lupion,Sergio Moro,Flávio Bolsonaro,declarado
3,Enquete Digital,Eleitor Arapongas,Vila Araponguinha,Arapongas,Sérgio Onofre,Pedro Lupion,Sergio Moro,Flávio Bolsonaro,declarado
4,Enquete Digital,Eleitor Arapongas,Jardim Primavera,Arapongas,Sérgio Onofre,Pedro Lupion,Sergio Moro,Flávio Bolsonaro,declarado
5,Enquete Digital,Eleitor Arapongas,Conjunto Flamingos,Arapongas,Sérgio Onofre,Pedro Lupion,Sergio Moro,Flávio Bolsonaro,declarado
6,Enquete Digital,Eleitor Arapongas,Zona Sul,Arapongas,Sérgio Onofre,Pedro Lupion,Sergio Moro,Flávio Bolsonaro,declarado
7,Enquete Digital,Eleitor Arapongas,Vila Nova,Arapongas,Sérgio Onofre,Pedro Lupion,Sergio Moro,Flávio Bolsonaro,declarado
8,Enquete Digital,Eleitor Arapongas,Jardim Panorama,Arapongas,Sérgio Onofre,Pedro Lupion,Sergio Moro,Flávio Bolsonaro,declarado
9,Enquete Digital,Eleitor Arapongas,Centro,Arapongas,Sérgio Onofre,Pedro Lupion,Sergio Moro,Flávio Bolsonaro,declarado
10,Enquete Digital,Eleitor Arapongas,Jardim Petrópolis,Arapongas,Sérgio Onofre,Pedro Lupion,Sergio Moro,Flávio Bolsonaro,declarado
11,Enquete Digital,Eleitor Arapongas,Vila Araponguinha,Arapongas,Sérgio Onofre,Pedro Lupion,Sergio Moro,Flávio Bolsonaro,declarado
12,Enquete Digital,Eleitor Arapongas,Jardim Primavera,Arapongas,Sérgio Onofre,Pedro Lupion,Sergio Moro,Flávio Bolsonaro,declarado
13,Enquete Digital,Eleitor Arapongas,Conjunto Flamingos,Arapongas,Sérgio Onofre,Pedro Lupion,Sergio Moro,Flávio Bolsonaro,declarado
14,Enquete Digital,Eleitor Arapongas,Zona Sul,Arapongas,Sérgio Onofre,Pedro Lupion,Sergio Moro,Flávio Bolsonaro,declarado
15,Enquete Digital,Eleitor Arapongas,Vila Nova,Arapongas,Sérgio Onofre,Pedro Lupion,Sergio Moro,Flávio Bolsonaro,declarado
16,Enquete Digital,Eleitor Arapongas,Jardim Panorama,Arapongas,Sérgio Onofre,Pedro Lupion,Sergio Moro,Flávio Bolsonaro,declarado
17,Enquete Digital,Eleitor Arapongas,Centro,Arapongas,Sérgio Onofre,Pedro Lupion,Sergio Moro,Flávio Bolsonaro,declarado
18,Enquete Digital,Eleitor Arapongas,Jardim Petrópolis,Arapongas,Sérgio Onofre,Pedro Lupion,Sergio Moro,Flávio Bolsonaro,declarado
19,Enquete Digital,Eleitor Arapongas,Vila Araponguinha,Arapongas,Sérgio Onofre,Pedro Lupion,Sergio Moro,Flávio Bolsonaro,declarado
